香港频道,#genre#
有线新闻台[1280*720][1280*720][1280*720][1280*720][1280*720],http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
耀才财经新闻[1024*576][1024*576][1024*576][1024*576][1024*576],http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd
耀才财经新闻[1024*576][1024*576][1024*576][1024*576][1024*576],http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
凤凰卫视中文台[960*540][960*540][960*540][960*540][960*540],https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
面包台[1280*720][1280*720][1280*720][1280*720][1280*720],https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
八度空间[1920*1080][1920*1080][1920*1080][1920*1080][1920*1080],http://51.79.82.208:16005
澳门频道,#genre#
澳亚卫视[720*480][720*480][720*480],https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳亚卫视[720*480][720*480][720*480],https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
台湾频道,#genre#
TVBS新闻台[1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台[1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台[1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
大愛2 (720p)[1280*720][1280*720][1280*720][1280*720],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛1 (720p)[1280*720][1280*720][1280*720][1280*720],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
台视新闻[1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
民视新闻台[1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻台[1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
金马影院[1280*720][1280*720][1280*720][1280*720],http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
好消息电视台2[1920*1080][1920*1080][1920*1080][1920*1080],http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
好消息电视台1[854*480][854*480][854*480][854*480],http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
TVBS亚洲[1920*1080][1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
民视新闻HD[1920*1080][1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
台视新闻HD[1920*1080][1920*1080][1920*1080][1920*1080][1920*1080],http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
東森美洲[720*528][720*528][720*528][720*528][720*528],http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
东森超视[1920*1080][1920*1080][1920*1080][1920*1080][1920*1080],http://198.16.64.10:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
蕃薯台[1920*1080][1920*1080][1920*1080],http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
華語電視[1920*1080][1920*1080][1920*1080],http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
HBO[1280*720][1280*720][1280*720][1280*720][1280*720],http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
龙华偶像[1280*720][1280*720][1280*720][1280*720][1280*720],http://198.16.64.10:8278/lunghuaidol_twn/playlist.m3u8?tid=ME6E1618913016189130&ct=19226&tsum=392d7662a2ff7080289fbe9646e8501d
龙祥时代[1920*1080][1920*1080][1920*1080][1920*1080][1920*1080],http://198.16.64.10:8278/lungxiangtime_twn/playlist.m3u8?tid=MFFF9299444992994449&ct=19226&tsum=98d6988c4c94e299cb1c151856c909a8
八大戏剧[1920*1080][1920*1080][1920*1080][1920*1080],http://50.7.220.74:8278/badadrama/playlist.m3u8?tid=m6e4372d7fc8217605152&ct=17874&tsum=d9af89e299560350336e22c1418e6b54
韩国频道,#genre#
ArirangTV[640*360][640*360],http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
ArirangTV[640*360][640*360],http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
ArirangTV[640*360][640*360],http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
KBC 광주방송 (SBS 光州)[1920*1080][1920*1080],http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
국악방송[1920*1080][1920*1080],http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
MTN[1280*720][1280*720],http://183.110.27.87/mtnlive/720/playlist.m3u8
NBS Korea Agricultural Broadcasting[1280*720][1280*720],https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
TJB 대전방송 (SBS 大田)[1280*720][1280*720],http://1.245.74.5:1935/live/tv/.m3u8
한국선거방송[1280*720][1280*720],http://necgokr2-724.acs.wecandeo.com/ms/2528/724/index_1.m3u8
KCTV 광주[1280*720][1280*720],http://119.77.96.184:1935/chn05/chn05/chunklist.m3u8
MBC[1280*720][1280*720],http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
KBS World[1280*720][1280*720],https://kbsworld-ott.akamaized.net:443/hls/live/2002341/kbsworld/01.m3u8
CTS기독교TV[640*360][640*360],https://d34t5yjz1ooymj.cloudfront.net/out/v1/875039d5eba0478fa8375a06b3aa5a37/index.m3u8
MBC[1920*1080][1920*1080],http://123.254.72.24:1935/tvlive/livestream2/playlist.m3u8
NBS Korea Agricultural Broadcasting[1280*720][1280*720],https://media.joycorp.co.kr:4443/live/ngrp:live_all/playlist.m3u8
TBS Seoul[1280*720][1920*1080],https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
韩国EBS第一频道[640*360][640*360],http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8?zshijd
韩国EBS第二频道[640*360][640*360],http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8?zshijd
韩国EBS_E频道[640*360][640*360],http://ebsonairios.ebs.co.kr/plus3tablet500k/tablet500k/plus3tablet500k.index.m3u8?zshijd
韩国EBS少儿童频道[640*360][640*360],http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
韩国BBS佛教广播[1920*1080][1920*1080],http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8?zshijd
韩国TBS[1280*720][1280*720],http://58.234.158.60:1935/catvlive/myStream/playlist.m3u8?zshijd
韩国职业广播[853*480][853*480],http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8?zshijd
HBO频道,#genre#
HBO 2台,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
HBO 原創,http://198.16.64.10:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
HBO HD,http://198.16.64.10:8278/hbohd_twn/playlist.m3u8?tid=ME9E5260921952609219&ct=19225&tsum=a904cd480db106670befb11d14149fce
HBO HD,http://50.7.220.74:8278/hbohd_twn/playlist.m3u8?ct=19225&tid=ME9E5260921952609219&tsum=a904cd480db106670befb11d14149fce
HBO Family,http://50.7.220.74:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
HBO Family,http://50.7.220.74:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
HBO Signature,http://50.7.220.74:8278/hbosignature_twn/playlist.m3u8?tid=MD6D5767423357674233&ct=18392&tsum=995709f1100cf1b07964790160bfb4ee
HBO HITS,http://50.7.220.74:8278/hbohead_twn/playlist.m3u8?tid=MCDC6663932966639329&ct=19193&tsum=6999a99699b097f3af2ef550e5c81f93



